model_family,model_file,gen_type,image_type,positive_prompt,negative_prompt,loras,lora_count,width,height,steps,sampler,scheduler,seed
flux,cumzilla8BitFlux_8bitV2.safetensors,t2i,NSFW,"chelsea_v1, blue eyes, blonde hair, On a warm, sandy beach, , with a naked man lie close together on a colorful towel, totally naked sharing a tender kiss. The sun casts a golden glow over their entwined forms, their hands gently holding each other. Waves roll softly onto the shore, the ocean stretching out in serene shades of blue. Nearby, seagulls glide overhead, and the soft murmur of other beachgoers fades into the background, making this moment feel intimate and timeless. The warmth of the sun and the scent of saltwater wrap around them, creating a perfect, peaceful scene.",,chelsea-v1-000014.safetensors@1; nipplediffusion-f1.safetensors@0.6; pussydiffusion-f1.safetensors@0.4,3,896,1152,15,euler,beta,21978522104605
flux,cumzilla8BitFlux_8bitV2.safetensors,t2i,NSFW,"chelsea_v1, blue eyes, blonde hair, 8k, 4k, ultra high definition and ultra realistic and ultra high quality POV photo naked, wearing only a cooking apron, apron, holding a tray of cookies, standing in door entrance, doorway, looking at viewer BREAK background kitchen. BREAK natural lighting, drop shadow, warm lighting, realistic lighting, shadows. BREAK best quality, amazing",,chelsea-v1-000014.safetensors@1; nipplediffusion-f1.safetensors@0.6; pussydiffusion-f1.safetensors@0.4,3,896,1152,15,euler,beta,691900610353049
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,"chelsea_v1, blue eyes, blonde hair, 
Hyperrealistic photo of , Hiking Scene. She Is Hiking The Lion's Head Trail In Bruce Peninsula Ontario. She Is Walking  with A Dog. She Is Climbing Down A Path Stepping Over A Rock.",,chelsea-v1-000014.safetensors@1; nipplediffusion-f1.safetensors@0.6; pussydiffusion-f1.safetensors@0.4,3,896,1152,15,euler,beta,87274790613100
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,"chelsea_v1, blue eyes, blonde hair, Backyard Scene. She Is Standing In The Rain.  Her Hair Is Wet. She Is Leaning Against A Wooden Fence. Her Body Is Drenched With Water. She Has A Big Smile. Her Face Is Wet. Her Legs Are Bent Apart. Her Robe Is White And Sheer From The Rain. Her Robe Is Open And Untied.. Her Breasts Are Showing. She Has light Pink Nipples.  Her midriff is showing, shaved pussy.",,chelsea-v1-000014.safetensors@1; nipplediffusion-f1.safetensors@0.6; pussydiffusion-f1.safetensors@0.4,3,896,1152,15,euler,beta,716592054487196
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,"chelsea_v1, blue eyes, blonde hair, 
Hyperrealistic photo of , Hiking Scene. She Is Hiking The Lion's Head Trail In Bruce Peninsula Ontario. She Is Walking  with A Dog. She Is Climbing Down A Path",,chelsea-v1-000014.safetensors@1; nipplediffusion-f1.safetensors@0.6; pussydiffusion-f1.safetensors@0.4,3,896,1152,15,euler,beta,87274790613100
flux,flux1-dev.safetensors,t2i,NSFW,"chelsea_v1, blue eyes, blonde hair, Backyard Scene. She Is Standing In The Rain.  Her Hair Is Wet. She Is Leaning Against A Wooden Fence. Her Body Is Drenched With Water. She Has A Big Smile. Her Face Is Wet. Her Legs Are Bent Apart. Her Robe Is White And Sheer From The Rain. Her Robe Is Open And Untied.. Her Breasts Are Showing. She Has light Pink Nipples.  Her midriff is showing, shaved pussy.",,chelsea-v1-000014.safetensors@1,1,896,1152,15,euler,beta,716592054487196
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,"A woman standing at the edge of a serene swimming hole on a scorching summer day, about to dive into the cool, inviting water. She’s wearing a small, stylish bikini, topless, her skin glistening with sweat under the blazing sun. Her body is slightly angled as she prepares to step in, one foot already touching the water. Her hair is tied up loosely, and her expression is calm and focused. The swimming hole is nestled in nature — surrounded by smooth rocks, tall grasses, and dense green trees that rustle gently in the breeze. Sunlight sparkles on the water’s surface, and distant birds call through the humid air. A towel and flip-flops are laid out on a sun-warmed rock nearby, and a water bottle sits in the shade. The scene feels peaceful, sensual, and immersive — a perfect snapshot of a hot summer escape in nature. , blue eyes, ear piercings, earrings",,chelsea-v1-000014.safetensors@1; Sagging-Breasts v2.safetensors@0.6,2,1024,1024,15,euler,beta,261676769322361
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,"A woman playing with her dog at a city park on a blazing hot summer day. She’s mid-motion, laughing as she tosses a ball, her dog — a happy, energetic golden retriever — sprinting after it across the sunlit grass. She’s wearing athletic shorts and a fitted tank top, her skin glistening with sweat from the heat and activity. Her hair is pulled back into a messy ponytail, and her face is flushed, but joyful. The park is full of life — green trees with sun filtering through, families on blankets, kids running through sprinklers, and the hum of cicadas in the background. A water bottle and backpack sit nearby on a bench. The air feels hot and hazy, with heatwaves rising off the path. The image is vibrant, detailed, and full of summer energy — capturing the bond between woman and dog in a sun-soaked, real-life moment.",,chelsea-v1-000014.safetensors@1; nipplediffusion-f1.safetensors@0.4,2,1024,1024,15,euler,beta,590614615237738
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,"A woman playing with her dog at a city park on a blazing hot summer day. She’s mid-motion, topless, laughing as she tosses a ball, her dog — a happy, energetic golden retriever — sprinting after it across the sunlit grass. She’s wearing athletic shorts and a fitted tank top, her skin glistening with sweat from the heat and activity. Her hair is pulled back into a messy ponytail, and her face is flushed, but joyful. The park is full of life — green trees with sun filtering through, families on blankets, kids running through sprinklers, and the hum of cicadas in the background. A water bottle and backpack sit nearby on a bench. The air feels hot and hazy, with heatwaves rising off the path. The image is vibrant, detailed, and full of summer energy — capturing the bond between woman and dog in a sun-soaked, real-life moment.",,chelsea-v1-000014.safetensors@1; nipplediffusion-f1.safetensors@0.4,2,1024,1024,12,euler,beta,392596196082493
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,"A woman playing with her dog at a city park on a blazing hot summer day. She’s mid-motion, topless, laughing as she tosses a ball, her dog — a happy, energetic golden retriever — sprinting after it across the sunlit grass. She’s wearing athletic shorts and a fitted tank top, her skin glistening with sweat from the heat and activity. Her hair is pulled back into a messy ponytail, and her face is flushed, but joyful. The park is full of life — green trees with sun filtering through, families on blankets, kids running through sprinklers, and the hum of cicadas in the background. A water bottle and backpack sit nearby on a bench. The air feels hot and hazy, with heatwaves rising off the path. The image is vibrant, detailed, and full of summer energy — capturing the bond between woman and dog in a sun-soaked, real-life moment.",,courtney-v1-000015.safetensors@1; nipplediffusion-f1.safetensors@0.4,2,1024,1024,12,euler,beta,277976985018135
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,courtney_v1 a woman totally naked walking on the beach,,chelsea-v1-000014.safetensors@1; mongot-Nude-Amy-v1-WEAK.safetensors@0.6,2,1024,1024,12,euler,beta,831988282443815
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,courtney_v1 a woman totally naked walking on the beach,,chelsea-v1-000014.safetensors@1; mongot-Nude-Amy-v1-STRONG.safetensors@0.6,2,1024,1024,12,euler,beta,798336018350861
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,courtney_v1 a woman totally naked walking on the beach,,chelsea-v1-000014.safetensors@1; mongot-Nude-Damage-v1-STRONG.safetensors@0.6,2,1024,1024,12,euler,beta,662697931075078
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,courtney_v1 a woman totally naked walking on the beach,,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.7,2,1024,1024,12,euler,beta,486121184998890
flux,flux1-dev.safetensors,t2i,NSFW,"Htotally naked, wearing a white sun shirt, open shirt, no bra, a rustic log cabin sits nestled among towering pines, its windows facing a shimmering lake. The cabin’s porch, lined with flower pots and a weathered rocking chair, overlooks the water's glassy surface reflecting the early morning light, ducks swimming nearby, leans against a porch railing, holding a steaming coffee cup. She gazes over the tranquil lake, lost in thought, as mist rises and soft sunlight spills across the water. realistic, sharp, high resolution, 8k, Photography",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.45,2,896,1152,15,euler,beta,833447802767706
flux,flux1-dev.safetensors,t2i,NSFW,"Hyperrealistic photo of ,  A Powerful And Confident Dominatrix Stands In A Dimly Lit Room, Exuding Authority. She Is Dressed In A Tight, Black Leather Corset, Thigh-High Boots, And Long Gloves. Her Breasts Are Exposed. Her Posture Is Assertive, With One Hand On Her Hip And The Other Holding A Coiled Whip. The Room Is Decorated With Gothic Elements: Heavy, Dark Curtains, A Wooden Chair With Restraints, And Various Implements Of Bondage Hanging On The Walls. The Lighting Casts Dramatic Shadows",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.45,2,896,1152,15,euler,beta,650499402260345
flux,flux1-dev.safetensors,t2i,NSFW,"camping at the Bruce Peninsula. She is not wearing clothes. She is laying on a towel, spreading legs on the beach her clothes are piled beside the chair in the sand cameltoe, full body, camera picture from below,",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.45,2,896,1152,15,euler,beta,520107131432976
flux,flux1-dev.safetensors,t2i,NSFW,"camping at the Bruce Peninsula. She is not wearing clothes. She is laying on a towel, spreading legs on the beach her clothes are piled beside the chair in the sand cameltoe, full body, camera picture from below,",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.7,2,896,1152,15,euler,beta,1048617235386642
flux,flux1-dev.safetensors,t2i,NSFW,"sin sicty movie poster, a secret society of time travelers, perfect filtered lighting, depth of field, photorealistic, hyperrealistic, posing for a picture, expression, (sexy nun clothes) , dominatrix, satanic, nipples, cameltoe, spreading legs, detailed-waist",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.7,2,896,1152,15,euler,beta,629226036258799
flux,flux1-dev.safetensors,t2i,NSFW,"ull body, not wearing clothes, day of the ded makeup. a beautiful skeleton woman dressed in a queens attire, queen of the underworld, colored eye area, hollow eyes, living dead, morbid, unholy, a living dead, fantasy, extremely intricate, cinematic, Older woman, nipples, spreading legs, cameltoe,",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.7,2,896,1152,15,euler,beta,650242910470891
flux,flux1-dev.safetensors,t2i,NSFW,"Full body, not wearing clothes, totally naked, Hippie, bodypainted in Woodstock. Older woman, nipples, spreading legs, cameltoe",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.7,2,896,1152,15,euler,beta,166743402558188
flux,flux1-dev.safetensors,t2i,NSFW,"Full body, not wearing clothes, totally naked, Hippie, bodypainted in Woodstock. Older woman, nipples, spreading legs, cameltoe
 in Form- fitted, extrem short latex cut side cut open outfit, , cinematic scene, she is very dominant, string harness, NOT WEARING CLOTHES, big BREASTS, pubic area , , hairy , pubic hair, lipstick, red painted fingernails,  make-up, crawling ona table, extrem sweat skin, very cute smile, cameltoe, spreading legs,",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.7,2,896,1152,15,euler,beta,334448024986553
flux,flux1-dev.safetensors,t2i,NSFW,"Full body, not wearing clothes, totally naked, Hippie, bodypainted in sitting on the edge of a bed, feet on the floor,  sexy high heel shoes, short blonde hair, red velvet corset with embroidery pattern, swarovski jewelry, cleavage, perky breasts, perfect face, full lips, glamorous make up, elaborate eyeliner detail, full eye lashes, soft lighting, red lipstick,,cameltoe, spreading legs",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.7,2,896,1152,15,euler,beta,206821966091899
flux,flux1-dev.safetensors,t2i,NSFW,"standing, wearing a gold blouse with long sleeves, long red skirt, unbuttoned shirt, unbuttoned blouse, open blouse, open shirt, multiple crystal bead necklaces, in an old used bookstore, surrounded by stacks and shelves of used books, cozy atmosphere, old wood floors, low-key lighting, watercolor, insanely detailed, breasts, nipples",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.7,2,896,1152,15,euler,beta,573280122773822
flux,flux1-dev.safetensors,t2i,NSFW,"in a black hat, in the style of color splash, dark silver and red, steampunk, figura serpentinata, white and red, seductive, sexy, cleavage, nipples",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.7,2,896,1152,15,euler,beta,978296781475484
flux,flux1-dev.safetensors,t2i,NSFW,"slight angle, long hair, f light makeup, loose satin robe, open robe showing cleavage, colorful robe, sitting on a wooden rocking chair on her backyard patio, highly detailed plants, sharp background, spreading legs, early morning, drinking coffee, bright sunny day",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.7,2,896,1152,15,euler,beta,222378468787386
flux,flux1-dev.safetensors,t2i,NSFW,"ull body photo candid photograph , looking away from the viewer, long straight dark blonde hair, light blue eyes, fair complexion, full lips, sitting in a comfy chair, looking out the window, snowing outside, naked, nude, covered in a thin blanket, showing some cleavage,",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.7,2,896,1152,15,euler,beta,836325604738109
flux,flux1-dev.safetensors,t2i,NSFW,"in a black hat, in the style of color splash, dark silver and red, steampunk, figura serpentinata, white and red, sexy, contrasting values, full body, nipples, cameltoe, spreading legs,",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.7,2,896,1152,15,euler,beta,83357210929012
flux,flux1-dev.safetensors,t2i,NSFW,"Tree, not wearing clothes in bare feet, naked, nude, high-angle,  overcast, nipples",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.7,2,896,1152,15,euler,beta,848806524559017
flux,flux1-dev.safetensors,t2i,NSFW,"wearing an open leather jacket, breasts exposed, head tilted down, eyes closed, wearing ripped jeans, foggy blue background, blurred lights . High dynamic range, vivid, rich details, clear shadows and highlights, realistic, intense, enhanced contrast, highly detailed, nipples",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.7,2,896,1152,15,euler,beta,1026944562649973
flux,flux1-dev.safetensors,t2i,NSFW,"full body photo of a woman sexy sci-fi hairstyle, wearing sexy sci-fi outfit, (decorative, colorful:1.15) , full cleavage, looking at camera, Sci-fi futuristic world, (walking towards camera:1.25) , detail face, detail eyes, detail lips, cameltoe, shaved pussy",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.7,2,896,1152,15,euler,beta,47616442066307
flux,flux1-dev.safetensors,t2i,NSFW,"gothic girl, lots of tattoos,  in a church, not wearing clothes, necklace is a crucifix, nipples, cameltoe, spreading legs, high-angle, detailed-waist, shaved pubic hair, bbw, detailed-legs",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.7,2,896,1152,15,euler,beta,483451391572580
flux,flux1-dev.safetensors,t2i,NSFW,"Backyard scene, she is wearing a white tank top, not wearing bra, smiling, You see the outline of her nipples on her top. Grey top, wet from sweat. Jean shorts, sandals. She Is Wearing A Cross Necklace",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.7,2,896,1152,15,euler,beta,666679713814217
flux,flux1-dev.safetensors,t2i,NSFW,"Pool Scene, She Is Laying On A Air Mattress In The Pool. One Leg On The Mattress The Other In The Water. not wearing clothes. She Is Wearing A Gold Cross As A Necklace.",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.7,2,896,1152,15,euler,beta,707035684789946
flux,flux1-dev.safetensors,t2i,NSFW,"chelsea_v1 a woman as a fierce Amazonian warrior with intricate tribal tattoos and a spear. standing tall in a dense jungle with beams of sunlight piercing through the canopy. Low angle shot, epic composition, detailed face, dynamic pose. cinematic lighting, vibrant jungle.",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.7,2,896,1152,15,euler,beta,916679554619192
flux,flux1-dev.safetensors,t2i,NSFW,"chelsea_v1 a woman Backyard scene, she is wearing a casual, form-fitting tank top that accentuates her natural silhouette. The absence of a bra highlights the contours of her body, and the fabric of the top clings slightly to her chest. She stands confidently, with her posture emphasizing her natural curves.. She Is Wearing A Cross Necklace.",,chelsea-v1-000014.safetensors@1; mongot-Nude-Lovita-v1-STRONG.safetensors@0.7,2,896,1152,15,euler,beta,81066497066555
